Lauk,Bakso Sapi,Batagor,Bihun,Bubur Ayam,Indomie Bulgogi,Ketupat,LaFonte Spaghetti,Lontong,Lontong Sayur,Mie Ayam,Mie Sedaap,Mie Telur,Nasi,Nasi Goreng,Nasi Uduk,Quaker Oatmeal,Spageti,Spageti Saus
Ayam Panggang,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Bakwan,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
Chicken Nugget,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1
Cumi Goreng,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Dada Ayam,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Hati Ayam,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kakap,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kari Ayam,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Kari Sapi,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Kembung Balado,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kepiting Panggang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Kerang Rebus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
KFC Original,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kornet Sapi,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1
Lele,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Lobster Panggang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Nila Goreng,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Paha Ayam,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0
Pangsit,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1
Pepes Tahu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Perkedel Jagung,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Perkedel Kentang,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rendang,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1
Salmon Panggang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sapi Panggang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sate Ayam,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Sayap Ayam,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1
Sosis Sapi,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Steak Sapi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tahu Goreng,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
Telur Dadar,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1
Telur Rebus,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0
Tempe Goreng,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tempura Udang,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0
Tongkol Goreng,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Tuna,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Udang,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
