Bahan Makanan,Kalori,Protein,Lemak,Karbohidrat,Kalsium,P,Fe,Persentase
Gaplek,338,1.5,0.7,81.3,80.0,60,2.0,100
Kentang,83,2.0,0.1,19.1,11.0,56,1.0,85
Ketela pohon (singkong),146,1.2,0.3,34.7,33.0,40,1.0,75
Mi kering,339,10.0,1.7,76.3,31.0,143,3.9,100
Misoa,345,8.5,2.2,78.0,52.0,120,8.7,100
Talas,98,1.9,0.2,23.7,28.0,61,1.0,85
Ubi jalar kuning,114,0.8,0.5,26.7,51.0,47,0.9,85
Ubi jalar merah ,151,1.6,0.3,35.4,29.0,74,0.7,93
Ubi manis,83,1.5,0.2,18.8,27.0,162,2.1,85
Bihun,360,4.7,0.1,82.1,6.0,35,1.0,100
Macaroni,363,8.7,0.4,78.7,20.0,80,0.0,100
Mi kering,337,7.9,11.8,50.0,49.0,47,3.0,100
Roti putih,248,8.0,1.2,50.0,10.0,95,2.0,100
Roti warna sawo matang,249,7.9,1.5,49.7,20.0,140,3.0,100
Biji jambu mete,606,19.5,47.3,34.9,416.0,538,8.3,100
Biji jambu monyet (mente),562,21.2,49.6,23.6,50.0,450,5.0,100
Jengkol,140,6.3,0.1,28.8,29.0,45,0.9,90
Kacang arab,330,23.8,1.4,60.2,57.0,388,5.0,100
Kacang ijo,345,22.2,1.2,62.9,125.0,320,7.0,100
Kacang tanah,525,27.9,42.7,17.4,315.0,456,5.7,100
Lamtoro (pete cina) biji tua,148,10.6,0.5,26.2,155.0,59,2.0,100
Emping (kerupuk melinjo),345,12.0,1.5,71.5,100.0,400,5.0,100
Kacang tanah goreng,564,25.5,44.4,25.5,106.0,390,4.1,100
Kembang tahu,380,48.9,13.8,23.3,378.0,781,0.0,100
Kwaci,515,30.6,42.1,13.8,54.0,312,6.0,35
Oncom,187,13.0,6.0,22.6,96.0,115,27.0,100
Susu kedele,41,3.5,2.5,5.0,50.0,45,1.0,100
Tahu ,80,10.9,4.7,0.8,223.0,183,2.4,100
Tempe kedelai pasar,150,14.0,7.7,9.1,517.0,202,1.5,100
Ayam,302,18.2,25.0,0.0,14.0,200,2.0,58
Babat,113,17.6,4.2,0.0,12.0,144,1.0,100
Bebek ( itik ),326,16.0,28.6,0.0,15.0,188,2.0,60
Daging kambing,154,16.6,9.2,0.0,11.0,124,1.0,100
Daging sapi,207,18.8,14.0,0.0,11.0,170,3.0,100
Ham,389,16.9,35.0,0.3,10.0,136,3.0,100
Daging kornet  ( corned beef ),241,16.0,25.0,0.0,10.0,170,4.0,100
Dendeng daging sapi,433,55.0,9.0,0.0,30.0,370,5.0,100
Kerupuk kulit kerbau,422,83.0,4.0,0.0,5.0,10,0.0,100
Sarang burung,281,37.5,0.3,32.1,485.0,18,3.0,100
Sosis daging ( wosrt ),452,14.5,42.3,2.3,28.0,61,1.0,100
Telur ayam,162,12.8,11.5,0.7,54.0,180,3.0,90
Telur bebek ,202,12.5,16.4,0.0,100.0,347,5.5,90
Telur bebek diasin,195,13.6,13.6,1.4,120.0,157,2.0,83
Bandeng,129,20.0,4.8,0.0,20.0,150,2.0,80
Bawal,96,19.0,1.7,0.0,20.0,150,2.0,80
Belut air tawar,82,6.7,1.0,10.9,390.0,533,1.3,100
Cumi-cumi,75,16.1,0.7,0.1,32.0,200,1.8,100
